H,W,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
95,92,5.9,9.3,3.2,6.2,4.5,9.5,5.3,6.3,5.5,3.4
78,83,4.3,6.4,4.7,6,4.5,5.6,1,4,2.8,8.7
88,95,3.3,3.5,4.3,9.5,7.9,3.9,7.6,1,9.3,9.4
93,76,9.9,4.5,2.6,6.3,7,9.8,1.2,4.1,9.5,1.2
91,99,8.5,2.9,3.2,6.2,2,4,9.2,3.7,5,5.7
84,82,8.6,6.2,1.4,3.2,1.5,7.4,6.7,6.7,7.3,2.7
82,95,9.9,5.6,2.1,1.9,8.5,8.3,1.6,1.8,5.9,6.9
100,79,6.6,5.8,2.7,4.4,1.3,9.4,2.2,5.4,4,4.8
84,96,9.5,9.2,9.5,2.4,3.6,2.1,3.2,9.5,3.9,6.8
77,91,1.7,6,4.2,6.6,9.4,8.9,5.9,5.2,9.1,7.5
91,97,3.3,7.4,1.6,2.6,5.9,7.6,5.7,4.6,2.4,6.7
82,100,5.2,3.2,10,1,1.2,3,9,4.2,8.4,7.2
99,75,8.4,7.2,5.3,5.2,6.2,1.2,1.4,3.5,1.6,6.9
87,85,2.9,1.9,7,9.2,2.7,4.4,4.2,1.6,2.3,8.8
100,81,3.8,2.9,6.2,4.5,1.1,9.5,2.3,7.8,6.6,8
77,87,5.5,6.5,6.7,9.8,8.6,9.8,5.4,8.2,7.5,5.7
78,82,9.4,6.5,3.2,2,3.8,1.9,5.9,8.1,8.1,6.5
94,77,8.2,6.3,8.5,7.5,1.5,6.9,4.2,6.4,6.7,8.3
97,97,6.5,2.9,9.3,7.2,9.7,8.4,8.9,3.3,9.8,9.4
84,95,8.6,9.5,3.9,8.6,9,9.7,8.7,7,5.3,1.2
84,86,6.7,5.8,6.6,8.2,3.4,6,5.5,6,2.3,6.3
86,92,1.9,6.6,7.7,3.1,8.4,9.5,4.4,4.5,4.1,5.8
79,96,2.3,6.7,5.9,6.5,5.8,2.6,8,1.9,8.5,6
93,83,3.2,7.2,1.8,3.8,8.4,2,3.4,8.6,6.7,5.7
83,80,6.7,2.9,2.3,5.8,4.7,1.4,4.8,9.3,9.8,1.2
75,98,2,7,3.3,6.9,7.1,9.2,1.8,8.2,5.8,2.1
94,92,5.1,3.2,9.8,4.1,3.2,1.1,9.8,9.5,6.8,2
88,91,9.7,3.5,3.5,3.1,5.3,5.2,2.7,1,6.7,8.4
91,97,3.8,8.9,5.8,9.3,5.8,4.7,7.8,6.5,10,1.8
96,79,8.3,5.1,9.1,1.7,8.7,6.8,7.9,2,3,8.3
99,85,7.3,6.7,2.7,2.6,8.8,6.3,6.4,6.7,6,9.6
85,88,5.2,7.1,6.1,7,2.2,8.7,9,2.8,5.9,4.4
90,84,1.9,5.2,7.5,2.7,7.2,1.8,9.9,7.4,2.7,2
99,95,9.6,3.1,3.6,2.1,3.6,2.7,4.7,4.9,3.3,2
77,83,7.6,4,8.9,8.4,7.5,7.3,4.3,6.4,5.6,2.8
95,89,2.4,4.5,6.1,8.8,6.6,1.9,3,1.5,8.4,9.6
95,82,9.3,7.4,3.2,8.3,9.4,8.2,5.8,1.5,2.9,4.7
99,99,5.5,2.8,4.7,2.5,2.4,6.7,8.6,6.5,4.1,4.1
82,81,2.5,6.8,9.3,8.8,6.4,9.4,9.5,2.6,5.1,9.8
83,95,2.7,6.8,7.7,5.1,6,2,3,7.3,4.6,8.2
97,83,5.4,3.2,6.7,1.8,5.5,2.7,9.6,6.7,1.7,2.4
76,76,6.4,7.1,6.8,8.1,9,6.7,4.7,4.4,6.6,9.5
77,88,5.5,3,7.1,1.8,4.6,3.3,9.6,6.3,6.5,5.5
80,97,1.8,2.5,1.2,6.6,2.8,9.7,1.5,8.5,7.6,5.7
77,90,1.7,8.6,2.3,7.8,4,2.7,8.4,6.6,1.8,9.2
99,75,9.4,6.4,9.3,2.5,2.4,4.7,6.7,3.9,2.5,7.5
95,76,1.3,5.9,7,1.5,6.8,8.6,5.5,4,7.8,1.3
89,86,3.3,7.9,9.4,8.3,9.4,9.2,2.8,8.5,4.9,1.2
98,92,9.2,5.8,5.5,5.3,4.7,2.5,1.1,5.1,3.5,3.6
89,97,5.1,2.2,5.9,8.9,9.6,8.6,8.9,7.8,9.7,1.1
85,91,1,7.3,5.3,5.7,4.3,6.2,5.3,5.9,7.1,8.9
84,96,4.9,6.3,4.4,8.6,9.3,3.4,6.1,7.6,4.5,9.4
84,97,5.4,9,5.3,3.2,6.4,3.1,9.3,5.7,2.6,4.5
81,97,8,5.2,3.9,1.6,7.9,7.5,2.5,3.6,2,5.1
93,76,1.9,8.1,2.4,2.4,5.3,9.2,7.6,8,9.9,1.8
83,86,6,8.6,6.6,7.8,5.3,1.3,7.8,5.9,9.3,9.8
90,96,2.9,2.3,8.2,6.2,1.8,7.3,9.2,2.5,7.6,1.5
93,76,7.2,1.9,1.1,7.7,9.7,1.8,7.4,3.3,4.3,3.5
89,87,3.9,7.9,7.8,8.6,9.5,7.5,5.9,8,8,3.1
92,86,3.3,2,6.3,1.3,8.2,2.9,5.9,6,4.6,7.6
96,86,8.3,5.5,2.9,2.8,1.5,6.5,5.4,7.4,4,5.8
92,92,3.6,7.7,3.5,8.1,5.7,5.9,2.9,8.4,4.8,4.8
93,79,1.9,6.5,2.7,4.1,7.5,5.1,7.5,7.2,9.2,9.8
95,98,7.3,7.7,7.3,8.9,9.5,4.1,5.3,3,1.4,1
86,83,9,2.6,8.6,7,2.2,7.7,5.9,8.3,5,1.6
91,86,3.8,5.7,7.5,6,7.2,4,8.1,3.9,4.3,4.6
95,91,1.8,5.7,6.7,1.3,3.1,6.8,1.9,6.1,6.2,8.6
75,97,8.6,3.3,2.6,4.6,8.7,8.5,3.4,8.4,5.5,4.7
90,77,5.3,2.1,1.6,8,7.6,3.5,1,7.4,3.8,7.6
80,81,9,1.5,6.5,8.5,2.4,2,1.9,5,8.4,7.9
95,91,2.5,9.1,8.1,1.1,7.4,5.1,5.8,4.3,6.9,9.5
88,92,9.4,9.8,6.6,8.7,3.2,2.9,7.7,7.6,1.4,3.9
79,82,6.3,5,6.9,6.8,9.9,4.8,1.8,9.5,9.1,4.7
78,80,1.4,7.2,1.6,7.9,10,3.4,2.5,8.1,1.7,1.4
76,85,3.5,7.2,2.6,3.8,8.8,8.1,9.8,1.1,1.8,1.6
97,86,8.4,2.7,1.5,8.3,6.8,3.1,4.7,8.2,9.1,8.5
90,100,3.5,7.8,2.7,8.5,9.8,6,9.2,9.6,3.6,9
81,92,9.4,3,4.9,5.3,9.9,1.4,2.8,6.4,6.1,1.1
99,80,3.4,3.1,4.3,9.7,3,9.8,10,8.6,3.8,4.1
77,99,5.3,7.3,1.3,3.6,6.8,5.4,9.1,1.6,2.5,5.2
89,96,7.1,9.6,5.5,6.7,3.5,7.1,7.2,5.7,8,5.3
96,97,5.1,2.9,2.8,5.4,3.7,4.1,5.6,8.4,1.3,4
75,76,5.5,7,9.3,1.2,1,9.4,3.7,7.7,1.1,4.1
89,95,4.9,5,1.4,1.9,1.3,4.6,9.2,8.6,9.6,9.4
77,93,6.2,6.5,2.5,6.4,7.1,6.1,8.4,8.6,1.2,2.3
97,89,2.4,4.1,8.5,1.8,5.1,5.6,5.1,6.1,6.4,2.7
98,85,7.8,5.8,4,1.7,8.8,9.2,9.2,1.8,2.1,2.5
89,84,6,8.3,9.9,2.2,4.3,6.2,4.5,6.4,1,5.2
90,79,8.8,2.7,8.8,6.5,3.7,7.9,3.1,8.9,2.7,3.3
96,98,7.4,8.3,7.4,2.6,2.3,9.4,5.6,3.9,4.8,8.8
95,88,3.4,9.6,1.5,9.3,2.2,3.7,4.6,6.7,4.2,1.3
89,85,8.6,3.6,9.2,6,3.2,2.7,5.4,1.2,3.7,2.1
95,80,1.6,7.3,6.9,4.5,5.3,6.1,7.7,6.2,5,6.4
99,80,6.5,4.1,2.9,4.5,7.2,7.3,1.6,8.1,4.2,5.4
98,94,2.6,1.4,2.6,5,1.7,8.2,8.4,3.5,4.9,8.1
93,82,3.9,4.4,1.2,9.4,4.4,1.3,9.1,5.5,5.9,1.2
88,77,6.2,6.9,5.9,4.1,8.3,7.8,4.5,7.7,2.2,6.1
77,95,5.5,7,8.3,8.8,1.2,7.4,8.8,4.5,5.2,8.3
92,83,8.5,7.6,9,2.3,8.3,5.5,1.7,7.2,8.6,3.9
87,98,7.8,4.8,4.9,9,4.8,2.2,3.3,9.6,1.4,6.3
79,100,7,9.7,9.8,4.5,3.2,3.4,1,9.3,8.7,4.8
85,97,9.5,5,2.6,8.3,4.1,5.1,8.2,7.9,6.2,9.4
95,97,1.9,4.9,6.7,8.7,7.3,5.1,8.8,4.7,6.9,3.6
81,80,1,5.9,5.7,4.8,4.2,9.2,3.1,9,6.6,3
95,77,1.2,5.2,6.4,2.4,6.3,6.5,4.4,9.2,10,3.6
96,91,4.5,4.7,2.9,7.2,9.9,6.8,8.1,5.5,9.8,1
98,76,1,9.4,8.4,9.7,6.9,9.3,6.8,5.5,2.3,9
79,81,2.6,3.1,7.2,6.9,8.9,7.9,4.4,7,6.6,3.5
89,80,2.7,4.7,5.5,5.2,9.5,9.8,4.3,4.7,7.6,6.1
88,80,2,7.7,4.1,6.3,4.3,8.5,7.9,8.7,5.5,8
98,100,3.9,3.1,3,2.4,9.5,9.2,8.8,8,6.8,4.6
89,88,3.1,1.2,5.6,3.5,4.5,8,8.9,2.6,9.2,8.6
78,89,5.7,6.4,4.1,1.7,6.9,9.4,7.7,5.7,8.6,6.3
90,93,2.4,8.1,2,4.3,4.4,8.4,1.6,7.7,2.8,9.5
94,95,4.1,3.2,7.6,4,7.1,6.3,5.1,3,6.1,7.8
85,99,1.5,7.9,8.3,9.3,4.7,2.7,4.1,1.2,8,9.1
78,75,8.6,5.2,8.6,7.9,2.3,5.2,8.1,8.7,4.8,3
77,100,7.7,4,2.9,3.8,5.1,7,2.8,3.3,9.9,3.2
97,97,7.4,8.3,8.8,6.6,3.2,6.4,2.2,7.4,5.6,1
100,81,8.9,8,7.1,9.4,3,8.1,9.4,1,1,7.1
96,76,2.9,9.9,3.5,5.5,1.2,7.8,8.8,1.3,5.7,8.1
77,98,9,6.7,2.8,3.3,7.1,8.3,4,9.5,4.7,8.5
82,91,4.6,6.6,2.3,7.8,1.2,7,6.3,7.8,9.4,8
98,98,3.3,7.1,7.4,7,6.8,2,3.7,7.4,3.3,5.9
94,78,3.2,6,2.8,2.1,2.8,5.1,1.6,3.3,6.6,7.6
90,100,9.8,2.1,7.8,9.2,7,4.2,6.5,9.5,3.3,1
94,84,1.5,4.8,6.8,8.1,5,2.2,4.9,2.9,10,7.8
80,82,3.9,1.2,4.7,1.5,8.1,9,1.5,6.8,8.9,7.1
77,97,7.5,2.5,9.1,4.5,6.6,8.3,7,3.2,3.8,2.5
98,89,8.8,3.2,4.5,6.6,5.2,2,1.2,1,6,9.9
95,93,1,5.1,4.4,8.1,7.5,4.1,9.7,9.8,9.8,5.2
84,85,9.7,4.8,7,6.8,9.4,3.2,6.4,6,3.6,2.4
82,77,1.6,4,1.1,9.2,8.9,3.8,8.5,6.6,9.5,5.6
76,85,1.8,6,3.3,7.4,7.6,7,5.8,6.6,4.6,6.1
90,87,5.7,4.8,6.5,1.8,3.4,3.5,5.4,3.5,8.4,8.6
100,100,6.1,9.8,4.2,2.2,1.9,8.7,8.3,7.6,3,2.6
80,89,7.9,5.9,9.9,3.2,3,8.3,5.3,2.8,4.9,4.3
91,80,3,6.5,3.5,4,2.4,1.9,2.1,9.6,10,5.4
95,99,7.6,1.2,5.8,2,9.4,4.8,1.1,5.7,2.6,5.4
99,85,2.5,2.1,9.7,3,8.5,1.9,8.4,9.1,4.5,1.3
76,84,9.7,9.3,4.3,6.6,2.1,8.4,5.2,9.4,4.9,2.4
92,95,2.3,3.4,1.3,5.7,9.5,5.3,9.6,8.5,4.7,9.9
86,90,5.1,9.2,3.9,5.3,8.1,8.7,2,5.6,2.1,3.9
86,87,2.6,3.7,4.4,3.8,2.4,9,7.4,6.8,8.5,7.7
81,98,7.3,3.4,8.4,4.2,8.9,4.7,1.9,5.2,2.2,6.1
99,78,1.1,7.8,7.1,9.5,7.7,9,7.3,4.9,8.7,3.2
80,75,7.4,1,3.2,5.2,1,6.6,7.6,2,6.9,1.7
78,78,5.2,9.5,2.7,8.4,6.5,5.5,7.6,9.6,4,2.8
86,79,7.6,5.8,6.2,6.6,5.7,4.3,8.9,5.3,7.1,1.7
94,87,2.4,6.4,5.3,5.7,1.6,6.8,3.3,6.9,2.7,8.8
84,79,6.5,8.9,9.8,3.8,1.8,6.8,3.2,5.7,3.8,8.8
87,79,7.7,3.7,5.7,9.4,3.6,6.5,4.7,1,2.2,5.2
87,81,8.1,1.1,8.2,5.5,7.8,2.5,2.4,7,6.6,2.2
94,93,9.1,7.6,1.1,8.2,1.6,6.4,8,10,9.6,1.6
75,78,5.3,5.3,3.3,7.6,4.1,2.5,6.7,9,7.7,3.3
94,89,3.1,6.8,3.5,6.8,2.7,7.9,9.9,5.9,2.8,1.2
79,81,6.2,8.8,2.6,6.3,8.5,8.4,8.6,4.9,10,6
95,79,9.9,6.7,9,1.8,8.4,7.8,2.5,4.9,4.2,8.5
98,81,7.4,3.4,7.7,9,7.4,7.4,8.2,6.5,4.1,3.8
95,89,6.9,6.1,5.5,4.9,5.1,4.7,2.8,5.1,8.7,7.4
100,91,4.2,4.6,2.2,6.4,2.6,9.5,2.9,5.5,6.1,2.1
96,77,9.4,6.2,6.5,1.2,9.9,6.6,7.3,4,2.4,10
88,99,7.7,1,8.4,3.1,6.2,7.6,7.4,8.7,8.5,9.9
83,84,9.6,9.8,2.4,9.6,5.4,2.4,2.9,7.6,9.9,1.4
94,98,4.8,4.7,10,8,9.3,3,4.2,6.9,4.5,6.7
90,85,3.9,9.7,10,2.2,6.7,6.3,9.4,7.7,2.6,6
94,78,3.5,7.9,2.1,3.6,6.3,4.7,3.4,2.8,5.4,4.3
95,76,1.9,6.3,4.8,2,5.1,6.5,9.2,6,2.9,7.7
86,86,8.6,7,5.1,4.9,4.3,8.6,5.1,7.5,8.9,8.1
93,83,8.3,2.7,3.1,8.9,7.3,9.4,4.5,7.4,2.2,7.4
88,84,8.3,9.1,4.3,9.8,4.2,2.1,2.6,5.4,6.8,3.4
79,89,4.1,4.4,3.4,2.7,1.3,7.7,3.2,3,9.6,8.1
86,97,6.7,7.4,3.1,6,5.5,6.1,9.7,2.2,3.5,9.1
82,80,7.6,4.2,4.5,9.4,7.3,2.8,3.5,9,5,5.9
76,99,2.3,4.3,7.2,6.8,7.9,4.3,2,1.7,4.4,3.9
98,81,3.3,7.1,4.2,6.8,1.9,9.1,4.9,1.8,2.7,8
95,90,1.6,3.4,8.9,6.7,7.3,9.1,7.8,3.1,1.6,2.1
88,89,2,3.3,4.8,2.9,9.5,4.2,3,5.5,5.8,7.3
93,79,8.3,5.5,2.5,4.2,5.6,1.6,4.5,4.2,3.9,9.7
89,96,4.4,1.4,6.2,7.1,3,3,8.4,9.7,9.1,9.6
81,88,9.4,4.7,4,7.2,7.2,6.4,4.4,7.2,1.1,3.3
76,96,2.5,2.6,4,8.2,8.6,5.5,3.4,6.6,6.1,6.9
90,88,3.8,4.5,6,2.4,2,1.4,2.1,5.7,7.9,5.6
81,97,2.8,1,6.2,2.1,2.5,5.5,7.2,5.4,4.1,1.2
94,95,9.1,3.1,3.1,6.8,2.6,3.5,7.2,3.5,6.8,3.3
99,98,1.5,5.5,1.7,7.5,5.2,1,3.8,2.2,2.2,6.5
85,91,3.5,6.3,6.1,4.6,1.3,7.8,3.7,9.6,7.2,8.3
79,94,2.4,4.2,3.7,5.2,6.9,1.1,2,9.6,5.3,2
79,95,5.5,5.1,7,7.3,2.8,7.1,2.6,5.3,10,5.2
81,97,3.4,7.8,9.8,8.5,9.1,6.1,1.5,2.6,3,5.8
97,94,7.6,3.4,4.6,9.2,6.7,4.1,3.4,4.4,7.3,5.6
78,92,2.6,1.8,8.2,5.2,2.4,2.8,4.4,4.5,8.4,3.2
91,88,7.1,4.7,3.4,9.5,2,5.9,1.8,7,3,3.3
76,89,2.7,10,2.2,3.4,3.8,2.8,3.5,9.4,2.4,3.2
81,85,6.5,1.9,7.6,5,3.2,5.3,1.6,2,9.9,4
84,99,4.4,3.8,7.1,7.5,4.1,5.3,4.5,2.8,8.2,6.9
100,81,1.5,6,9.7,1.7,2.3,6.7,3.8,3.8,6.5,4.9
75,84,2.8,5.2,5.8,4.1,1.4,5,2.6,7.5,8.4,6.3
80,84,9.5,9,3.5,4.1,1.9,5.2,7.6,3.1,3.2,6.9
95,96,3.7,6.8,6.3,9.8,5.5,3.5,5.4,2.6,3.6,6.7
82,76,4.2,2.3,6.3,3,7.3,7.2,9.9,1.2,1.1,4
94,86,9.7,5.9,3.6,8.9,3.1,9.7,4.1,7.2,4.4,9.9
93,91,7.5,9.8,8.3,1.2,3.8,2.5,6.2,1.8,3,1.3
84,78,6.8,6,8.8,5.8,8.4,4.1,9.2,6.4,3,8.2
94,75,8.5,2.1,1.1,6.1,1.8,6.8,4.1,7.3,8.5,4.6
85,82,2.4,4.2,8.8,9.8,2.8,4.8,4.3,4.6,3.1,9.5
95,100,3.5,5.2,6.5,9.4,9,9.8,3.9,5.6,5.2,7.5
82,75,7.6,1.3,6.2,5.6,5.4,2.3,1.7,5.2,7,7.8
79,76,5.4,5.3,3.8,2,3.8,6.6,3.9,1.4,5,9.3
88,97,7.6,8.2,4.1,7.7,6.7,1.2,2.5,3.1,8.7,5.2
90,91,3.8,6.4,2.8,8.7,2.4,1.4,4.7,1.4,3.4,1.6
